Data;Total de casos;Casos por dia;Óbitos por dia;;;;;
26 fev;1;1;;;;;;
27 fev;0;0;;;;;;
28 fev;0;0;;;;;;
29 fev;2;1;;;;;;
01 mar;0;0;;;;;;
02 mar;0;0;;;;;;
03 mar;0;0;;;;;;
04 mar;3;1;;;;;;
05 mar;6;3;;;;;;
06 mar;10;4;;;;;;
07 mar;13;3;;;;;;
08 mar;16;3;;;;;;
09 mar;16;0;;;;;;
10 mar;19;3;;;;;;
11 mar;30;11;;;;;;
12 mar;46;16;;;;;;
13 mar;56;10;;;;;;
14 mar;65;9;;;;;;
15 mar;136;71;;;;;;
16 mar;152;16;;;;;;
17 mar;164;12;1;;;;;
18 mar;240;76;3;;;;;
19 mar;286;46;1;;;;;
20 mar;396;110;4;;;;;
21 mar;459;63;6;;;;;
22 mar;631;172;7;;;;;
23 mar;745;114;8;;;;;
24 mar;810;65;10;;;;;
25 mar;862;52;8;;;;;
26 mar;1052;190;10;;;;;
27 mar;1223;171;10;;;;;
28 mar;1406;183;16;;;;;
29 mar;1451;45;14;;;;;
30 mar;1517;66;15;;;;;
31 mar;2339;822;23;;;;;
01 abr;2981;642;28;;;;;
02 abr;3506;525;44;;;;;
03 abr;4048;542;11;;;;;
04 abr;4466;418;41;;;;;
05 abr;4620;154;15;;;;;
06 abr;4861;241;29;;;;;
07 abr;5682;821;67;;;;;
08 abr;6708;1026;57;;;;;
09 abr;7480;772;68;;;;;
10 abr;8216;736;44;;;;;
11 abr;8419;203;20;;;;;
12 abr;8755;336;28;;;;;
13 abr;8895;140;20;;;;;
14 abr;9371;476;87;;;;;
15 abr;11043;1672;83;;;;;
16 abr;11568;525;75;;;;;
17 abr;12841;1273;75;;;;;
18 abr;13894;1053;63;;;;;
19 abr;14267;373;24;;;;;
20 abr;14580;313;22;;;;;
21 abr;15385;805;56;;;;;
22 abr;15914;529;41;;;;;
23 abr;16740;826;211;;;;;
24 abr;17826;1086;167;;;;;
25 abr;20004;2178;155;;;;;
26 abr;20715;711;33;;;;;
27 abr;21696;981;125;;;;;
28 abr;24041;2345;224;;;;;
29 abr;26158;2117;198;;;;;
30 abr;28698;2540;128;;;;;
01 mai;30374;1676;136;;;;;
02 mai;31174;800;75;;;;;
03 mai;31772;598;41;;;;;
04 mai;32187;415;27;;;;;
05 mai;34053;1866;197;;;;;
06 mai;37853;3800;194;;;;;
07 mai;39928;2075;161;;;;;
08 mai;41830;1902;210;;;;;
09 mai;44411;2581;192;;;;;
