Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3500105;Interior;Adamantina;537;14;;
3500204;Interior;Adolfo;135;5;;
3500303;Interior;Aguaí;392;8;;
3500402;Interior;Águas da Prata;74;5;;
3500501;Interior;Águas de Lindóia;232;7;;
3500550;Interior;Águas de Santa Bárbara;29;1;;
3500600;Interior;Águas de São Pedro;68;2;;
3500709;Interior;Agudos;883;17;;
3500758;Interior;Alambari;91;4;;
3500808;Interior;Alfredo Marcondes;82;3;;
3500907;Interior;Altair;51;3;;
3501004;Interior;Altinópolis;244;8;;
3501103;Interior;Alto Alegre;83;3;;
3501152;Interior;Alumínio;327;10;;
3501202;Interior;Álvares Florence;92;6;;
3501301;Interior;Álvares Machado;321;10;;
3501400;Interior;Álvaro de Carvalho;38;4;;
3501509;Interior;Alvinlândia;27;0;;
3501608;Interior;Americana;6257;184;;
3501707;Interior;Américo Brasiliense;914;15;;
3501806;Interior;Américo de Campos;346;12;;
3501905;Interior;Amparo;1397;35;;
3502002;Interior;Analândia;42;2;;
3502101;Interior;Andradina;1773;61;;
3502200;Interior;Angatuba;375;9;;
3502309;Interior;Anhembi;29;1;;
3502408;Interior;Anhumas;112;0;;
3502507;Interior;Aparecida;636;19;;
3502606;Interior;Aparecida d'Oeste;311;8;;
3502705;Interior;Apiaí;181;6;;
3502754;Interior;Araçariguama;459;10;;
3502804;Interior;Araçatuba;8454;193;;
3502903;Interior;Araçoiaba da Serra;736;15;;
3503000;Interior;Aramina;135;5;;
3503109;Interior;Arandu;56;3;;
3503158;Interior;Arapeí;9;1;;
3503208;Interior;Araraquara;6619;77;;
3503307;Interior;Araras;5530;87;;
3503356;Interior;Arco-Íris;13;0;;
3503406;Interior;Arealva;169;2;;
3503505;Interior;Areias;57;0;;
3503604;Interior;Areiópolis;155;4;;
3503703;Interior;Ariranha;190;7;;
3503802;Interior;Artur Nogueira;1299;31;;
3503901;RMSP (exceto capital);Arujá;2552;103;;
3503950;Interior;Aspásia;49;2;;
3504008;Interior;Assis;1838;30;;
3504107;Interior;Atibaia;2732;67;;
3504206;Interior;Auriflama;570;14;;
3504305;Interior;Avaí;130;3;;
3504404;Interior;Avanhandava;256;8;;
3504503;Interior;Avaré;1049;20;;
3504602;Interior;Bady Bassitt;1054;22;;
3504701;Interior;Balbinos;241;3;;
3504800;Interior;Bálsamo;577;26;;
3504909;Interior;Bananal;157;1;;
3505005;Interior;Barão de Antonina;25;1;;
3505104;Interior;Barbosa;136;1;;
3505203;Interior;Bariri;1254;29;;
3505302;Interior;Barra Bonita;1114;25;;
3505351;Interior;Barra do Chapéu;51;0;;
3505401;Interior;Barra do Turvo;183;5;;
3505500;Interior;Barretos;5610;153;;
3505609;Interior;Barrinha;813;33;;
3505708;RMSP (exceto capital);Barueri;9616;420;;
3505807;Interior;Bastos;200;6;;
3505906;Interior;Batatais;870;33;;
3506003;Interior;Bauru;16101;275;;
3506102;Interior;Bebedouro;1582;34;;
3506201;Interior;Bento de Abreu;44;0;;
3506300;Interior;Bernardino de Campos;128;3;;
3506359;Interior;Bertioga;2214;49;;
3506409;Interior;Bilac;127;2;;
3506508;Interior;Birigui;3447;104;;
3506607;RMSP (exceto capital);Biritiba Mirim;531;32;;
3506706;Interior;Boa Esperança do Sul;247;6;;
3506805;Interior;Bocaina;211;3;;
3506904;Interior;Bofete;174;4;;
3507001;Interior;Boituva;1395;23;;
3507100;Interior;Bom Jesus dos Perdões;416;3;;
